trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29
1,1,4,3,1,3,5,1,4,2,3,5,2,1,5,1,5,2,3,4,5,4,4,4,1,1,4,1,1,3
1,3,5,4,4,1,3,3,3,5,1,2,4,2,1,3,2,1,3,2,2,4,1,3,3,1,5,1,3,5
3,2,5,4,1,4,2,4,3,5,5,4,5,2,4,5,2,4,5,5,1,3,5,3,4,4,1,2,4,5
2,4,1,3,5,5,5,1,2,2,4,5,3,3,5,5,2,1,2,2,2,3,4,5,2,4,5,1,4,1
2,3,2,1,5,4,5,3,4,2,3,4,4,1,3,1,1,2,3,3,4,4,5,2,4,4,5,5,2,3
2,1,4,3,2,5,3,5,3,2,4,5,4,2,5,2,2,3,2,3,3,1,1,4,3,3,2,3,3,2
1,4,2,3,5,3,5,5,1,5,1,3,4,3,4,5,4,1,4,3,3,4,2,4,3,5,4,3,1,2
5,5,3,1,2,3,2,1,5,3,2,4,2,1,2,3,4,5,4,1,2,1,3,5,5,4,4,5,2,3
1,4,1,1,5,5,4,1,3,4,2,1,4,3,1,4,3,1,3,4,5,1,2,4,1,4,3,4,5,1
5,5,2,4,5,4,2,3,2,5,4,1,3,4,3,3,3,4,1,3,2,2,2,5,4,5,3,4,2,2
4,1,1,1,1,4,2,2,5,4,2,2,5,5,5,4,3,4,1,3,2,3,1,3,2,3,4,4,4,5
1,5,5,1,1,5,1,4,1,5,3,3,4,4,1,4,4,4,2,1,1,1,4,4,4,2,5,5,4,1
1,4,1,3,1,1,4,1,2,5,4,2,2,4,3,1,5,5,2,4,3,3,4,2,5,1,3,4,2,5
1,5,1,1,3,4,2,5,3,3,1,3,2,5,3,2,4,3,4,4,2,5,2,1,2,2,2,5,4,2
2,3,2,3,1,1,2,5,1,5,1,1,1,4,5,5,3,2,1,3,1,1,1,5,1,3,5,3,1,5
2,5,5,1,1,1,5,2,3,3,5,2,4,3,2,5,5,5,2,2,1,2,1,4,3,1,1,5,5,1
5,5,3,5,2,1,5,5,3,4,4,1,5,4,1,3,1,3,1,3,4,2,4,3,2,2,1,5,3,5
5,4,4,1,5,3,5,3,2,3,4,3,4,5,5,4,1,2,4,1,4,3,1,2,4,4,5,4,3,3
1,4,5,2,3,4,2,5,2,4,1,2,5,1,2,4,4,5,2,5,5,2,1,4,4,2,4,2,4,4
5,2,4,3,5,5,4,3,1,1,2,4,1,3,1,1,2,1,2,1,1,3,2,5,5,1,1,4,4,2
2,1,3,2,3,1,2,4,3,1,1,2,5,1,5,5,4,1,3,2,3,5,1,1,1,1,3,4,1,3
5,1,3,2,1,3,1,1,5,1,2,2,3,2,5,4,1,3,5,3,5,1,5,3,5,4,1,1,1,2
4,1,1,4,4,5,1,2,5,5,2,2,5,5,2,5,4,1,2,1,2,1,1,1,1,3,1,4,1,1
2,4,3,1,4,4,4,2,4,3,4,2,3,1,4,3,5,3,5,4,2,5,5,2,4,2,5,3,4,3
4,2,3,5,3,2,1,1,1,1,2,3,4,5,1,5,4,3,5,2,1,2,3,5,2,4,2,2,3,5
5,1,5,4,2,2,2,4,1,4,3,5,3,4,2,2,3,1,5,2,3,2,2,2,3,5,2,2,3,1
3,2,2,2,4,5,4,4,5,2,4,3,5,2,4,5,1,1,5,4,5,5,5,1,1,1,2,2,2,4
1,5,1,1,4,5,2,3,3,3,4,5,2,1,2,2,1,2,1,3,4,5,2,2,1,4,1,3,1,5
2,4,5,1,1,3,2,3,4,5,4,4,1,4,2,2,2,1,5,3,5,4,1,3,2,5,5,2,3,2
4,2,1,2,4,4,1,3,1,3,1,1,3,2,1,4,3,5,5,3,1,4,1,3,4,2,4,5,4,2
3,4,5,3,5,2,5,4,2,3,1,3,3,1,5,5,1,5,1,4,5,3,4,5,5,2,4,2,1,3
3,5,1,3,5,1,3,5,3,4,5,3,4,5,2,2,2,1,3,3,4,4,4,3,2,3,5,1,4,4
2,5,3,3,1,5,3,5,3,2,4,2,5,4,5,5,3,3,2,5,3,2,2,5,3,5,4,1,1,4
2,3,3,3,4,3,3,1,4,1,1,1,1,2,2,4,3,3,1,3,3,1,3,2,5,1,5,4,2,1
3,5,1,1,2,3,1,4,1,4,5,5,4,2,4,5,2,1,5,2,3,1,2,2,4,4,2,5,3,1
1,2,3,4,3,5,2,5,2,2,4,4,1,2,2,2,5,5,2,5,4,1,5,4,3,2,5,1,5,2
1,4,1,1,5,3,3,5,4,4,3,4,3,4,4,5,5,5,3,3,1,3,4,4,2,4,1,3,2,5
4,1,3,1,4,5,3,2,3,1,5,4,3,2,2,4,2,1,2,4,3,5,3,4,3,1,5,5,5,2
1,1,4,3,3,5,1,1,5,1,2,2,1,3,1,3,1,3,5,4,3,3,5,1,1,3,2,3,1,2
3,5,1,3,2,2,5,5,4,1,2,2,2,3,2,5,2,5,3,2,5,1,3,2,2,2,5,1,1,2
3,1,4,4,1,2,3,3,2,5,4,1,1,1,5,5,2,2,1,2,4,1,3,1,3,4,5,1,5,5
5,2,4,5,5,1,2,5,3,1,5,4,2,1,2,5,4,4,2,2,2,5,4,3,3,5,3,1,4,3
3,1,2,5,3,2,3,5,5,2,5,4,2,4,2,2,2,1,2,1,5,2,5,3,4,1,2,2,1,3
1,2,2,5,1,3,4,5,2,5,2,2,4,3,2,2,2,1,3,5,3,5,2,3,1,5,1,1,3,5
4,3,2,3,5,1,2,3,5,4,3,3,2,3,2,3,2,4,2,3,2,1,1,3,3,4,1,2,2,1
5,3,3,5,3,3,2,2,5,1,1,5,1,3,5,4,2,3,2,4,2,4,1,1,1,3,4,2,5,3
1,1,2,1,4,5,4,4,1,4,3,2,2,5,4,2,1,5,5,1,5,4,2,2,4,2,4,2,3,3
4,5,1,4,4,4,5,2,4,4,2,2,4,2,3,4,3,5,1,5,1,1,4,4,3,1,5,3,1,2
1,5,1,3,2,5,3,3,5,2,4,1,4,2,1,4,3,2,5,4,5,3,2,1,1,2,3,2,2,4
5,1,4,2,4,5,1,3,1,3,5,1,5,4,1,1,1,3,3,1,5,1,2,3,5,5,1,4,2,1
3,5,1,3,3,3,3,5,5,1,4,1,2,2,5,4,4,5,4,3,5,3,2,5,1,1,2,1,5,1
5,1,3,2,3,1,1,4,4,4,5,1,4,2,3,4,5,4,3,1,2,1,1,1,3,2,4,3,5,1
3,1,3,1,2,2,3,5,4,5,1,4,2,2,1,1,5,3,4,4,1,3,3,2,4,5,4,3,1,2
5,5,4,2,1,3,5,4,5,2,2,4,2,3,5,4,3,5,1,2,2,4,2,2,5,2,4,5,3,1
2,4,4,4,5,2,3,4,5,5,1,5,5,5,1,1,5,2,5,1,2,1,2,5,4,4,4,5,4,3
1,3,5,5,2,4,5,4,2,3,2,3,1,2,5,5,3,1,1,4,2,3,1,5,1,1,1,4,1,2
1,3,5,4,5,1,4,3,4,4,5,3,4,4,5,3,5,5,1,3,1,5,3,4,4,4,3,1,2,4
2,5,2,3,3,4,1,5,5,4,4,2,5,2,1,4,4,4,1,1,3,5,1,4,5,1,4,3,4,4
3,4,2,2,1,5,1,1,5,1,4,1,2,3,5,5,2,5,5,4,4,1,2,2,1,3,2,1,4,4
1,2,4,4,3,3,2,5,3,5,2,4,3,2,4,1,3,4,1,2,4,2,3,5,5,5,1,1,3,5
2,2,4,4,1,3,2,2,1,4,2,4,4,4,4,4,3,5,1,1,3,5,2,4,4,4,1,3,5,5
1,1,3,4,3,2,3,1,3,1,1,2,4,4,3,5,2,3,2,5,2,2,5,3,3,2,4,4,5,3
4,3,5,2,5,5,4,2,5,4,2,2,4,5,4,5,4,3,4,3,3,5,2,2,4,2,4,3,5,3
