trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29
83811,5054,53548,35636,10012,46118,71849,8767,65214,31919,35169,80890,18020,11842,73369,5580,76122,29385,40345,64814,75401,58346,62412,54362,9282,9804,97213,89685,15524,42435
14593,37498,68161,54748,52429,8196,41348,45133,34888,65826,7147,28319,57533,25723,1507,48203,25842,11090,37149,23817,22679,58227,16365,37860,40893,15217,61128,4890,38546,66646
3279,91256,71038,63967,5238,56386,17288,54165,47723,72390,95114,59833,72886,19658,62086,77292,26965,85268,75755,72967,8540,38547,82605,37710,56963,53528,90387,12562,92151,81269
97197,99967,91962,33773,77152,72567,72995,14485,83547,21226,67186,65807,39050,96911,85604,79338,96773,60230,20204,28413,31210,33153,80346,67403,32277,61295,97964,21878,60219,1112
36049,18866,15291,10733,76927,59464,93264,42402,31783,32255,63421,93246,63311,39674,68588,2532,84145,2984,34816,42024,60916,63480,52948,28829,58417,54434,65639,8740,58991,34726
32099,60626,23156,39740,29956,74815,70096,98581,90774,30330,48631,63268,63903,10442,39472,29473,26368,17849,30101,38447,40617,86484,70276,58166,38541,34977,14547,79315,17873,20289
29257,48481,49751,44399,83169,45020,39617,72661,62020,72395,53328,94098,49859,97929,71137,67388,5402,39311,63375,42070,87929,11410,90029,60091,33566,78166,79523,45170,42227,99178
18290,88035,29513,2831,67597,33742,66233,67016,43261,33534,4464,68231,28705,24088,55125,42103,25220,93635,61240,90855,46632,50687,2209,69302,73458,56292,75993,42997,14015,26119
96531,91546,37955,9481,19919,67168,25260,6511,11166,52086,18386,47279,58524,39576,92712,62569,58904,3050,43585,3634,22426,98299,26675,58078,12477,63936,31899,71986,20270,34518
13435,12621,3814,63473,76511,50667,93569,89111,70582,71866,20860,96186,43264,11602,30270,38044,53137,89116,5397,63723,66592,10294,35213,72255,97555,81477,56606,54334,88335,11370
88697,59401,29451,1447,70521,51435,99875,5874,41600,60768,54131,59591,75680,46089,12388,57284,46327,81486,12084,46849,24521,9888,92290,44421,64870,36442,61504,60925,88511,26148
97081,78487,15290,15053,4219,80683,57129,99399,29412,95876,24006,95425,95853,94616,49112,83366,37739,1387,87270,47101,21172,86431,82910,83820,24148,26707,34799,56145,78385,67140
71483,65310,74540,37205,3984,5362,21711,96461,88663,91219,45364,4092,50083,86852,81031,49542,34118,63562,24309,8536,1019,26543,26394,57209,61413,84385,94376,74324,28381,7175
11396,79822,1155,15429,9037,54858,20270,36167,72968,71843,57616,4823,27368,61862,8874,2579,58992,49580,20191,53150,34160,38113,91575,29563,68495,5209,88496,57364,93668,77918
77398,2511,13131,40769,41955,86328,86163,20231,11173,68618,82680,22190,94862,70856,44219,96423,80653,63565,51109,60467,83498,9690,85586,9436,16772,87216,43176,68085,87710,25403
55303,67382,20538,97449,82859,3102,14093,59615,20096,82435,149,45058,26220,50508,84309,21672,54924,70262,6087,43228,22504,82341,19325,73521,93855,23170,57427,42100,53809,66160
4166,56675,67334,85106,7138,13430,64630,96174,45506,44881,4482,97885,7341,50843,33482,67726,37215,39012,31383,21967,16091,40233,10462,61229,9110,37746,72514,73396,49820,3171
3906,75579,90285,4687,4047,83,85108,5951,12912,76817,71321,17350,64968,65996,75209,79213,76023,99784,83738,43864,3965,97813,54623,34609,93646,4586,47351,71856,30754,90668
12281,48808,39713,81912,17746,34578,28889,82634,45550,86592,50749,34210,71946,53182,27161,48868,13712,20614,1204,82811,61939,80111,57677,25800,47630,20711,21832,57709,52416,69040
28658,81856,90900,8734,71915,63119,28581,71579,41857,47215,57402,97314,59356,41712,2936,49543,1630,95503,54064,829,61747,7873,25987,85941,95442,57602,72565,18607,85070,47930
30496,71695,83102,17697,38709,94878,99912,66097,29149,50695,1456,7351,78341,94254,99490,52192,64180,76358,95187,65913,67991,29160,94541,62042,21919,23743,85035,54028,9510,59915
66238,99001,49602,35598,69176,71656,67057,28727,24769,36399,31097,22183,11925,56216,75069,14265,27982,44422,21860,90285,2480,86723,3226,81708,53399,16125,16238,51396,66155,99703
78908,56895,77464,96596,43209,1198,72950,78979,9010,52940,9093,6145,71057,70019,27645,85889,61599,87784,17122,12031,44925,16774,10967,91108,95444,89488,5477,8435,41913,17049
3479,51634,53091,20202,93490,41364,66662,37481,43113,91388,20841,47218,44579,82700,7135,95103,98830,23121,40127,83202,77346,43012,52814,5996,92391,12520,71531,54306,36155,45787
73564,23094,90612,27658,99951,74393,20306,75152,79140,997,22321,30030,67601,5318,76285,76677,9627,68922,81856,22844,84677,30780,89059,33666,60024,64383,96147,37506,49331,84754
26063,7566,87823,99711,12180,56060,61839,48653,79626,14929,63159,57792,38440,82906,73006,89554,59285,14931,82403,44244,21015,35883,701,14799,83719,40399,63175,19296,58438,21863
93851,14065,42746,94019,52163,30153,28457,52440,56213,3716,30229,25980,54371,33718,17934,63672,72553,13258,88463,3458,90646,78528,8367,20865,66181,32019,13903,25693,12630,4833
85182,16326,46962,56150,92435,31162,3664,3994,83230,70640,81931,29992,35803,5378,50418,71613,86473,48880,19527,56823,27868,88312,22881,69252,4063,52521,44887,18670,12272,45571
91925,49265,9641,9825,62750,68586,9610,32604,11660,33844,35962,16585,71298,30227,89117,33316,49369,83972,67161,18897,94196,3956,13817,96563,69252,98044,7272,40642,4155,79492
71427,20116,44410,80337,47236,67365,55546,95220,8390,4272,64037,18114,18667,67235,3978,84881,86499,5345,78177,16764,10326,4380,76900,17734,14720,77509,12241,27657,64347,3971
54988,12550,37058,53495,20462,47066,8324,18087,90853,62622,65418,46033,12683,92506,20399,80776,48213,41424,72905,95516,42774,78213,5993,89896,50341,1667,79349,90922,45348,50920
28894,21053,80901,18718,61699,57963,17363,12546,79157,88601,54527,66525,84614,1907,50520,18269,8107,40000,77187,52844,71540,93824,77186,16346,17785,52117,23477,86623,37053,84978
58879,67166,20847,91810,61029,31726,65391,55476,43813,23283,16099,84808,34230,74757,32332,74092,13258,11551,6334,38859,58705,21373,34604,17965,48548,85188,25577,98965,17632,76445
77237,65009,14682,7497,9742,4360,88116,95545,90516,45518,4414,41715,36444,60886,24453,18681,87483,5903,78684,38243,73765,29859,28738,90458,3126,69022,25157,95062,3333,24877
36464,16870,66980,4217,60239,73525,21370,49292,84296,80720,81105,67053,57379,29326,12320,18275,17655,25340,73820,96762,2538,100000,70678,45948,1242,96141,623,65975,34789,19495
852,50706,9184,22573,98157,49043,16888,42802,56400,39281,49573,86544,76895,6880,80598,49851,39568,98082,14196,44609,80871,80339,25787,48174,93059,92383,69237,27217,59082,42113
99459,78279,77152,42031,91287,93944,7419,46972,751,48131,11937,52853,4859,49631,25687,72917,4543,10833,39567,57758,52150,72832,11643,75618,27024,21049,55585,13535,98599,57284
20927,66412,12404,33013,71359,90126,91508,35177,29783,58858,75480,7221,49281,30374,73226,20245,24175,73850,19604,41746,40165,56087,3873,85509,91390,20018,57768,13030,15863,58448
91507,35644,35390,46733,81178,46328,71846,85900,44231,99893,51776,43554,88763,11611,28671,76846,38479,80181,2687,80997,44911,56545,60081,48034,61345,48615,70235,50762,65389,12764
55393,75388,41344,95053,14337,78772,38241,52241,34889,85025,87973,36481,1657,65795,58213,55899,40669,11509,74292,48807,47489,83723,52038,80958,80633,68059,49174,81510,92842,87028
44598,23835,14119,41946,56711,44816,44445,80603,56940,25335,47971,20083,47471,84449,24209,66971,22572,33180,28701,99767,60695,47318,28018,30234,26934,861,68664,95547,8506,2743
36422,49405,81962,12289,29670,73111,91580,81303,91760,99653,71265,11864,34840,97910,93528,99937,80215,39111,38602,82312,2036,63869,38780,83257,87643,91965,16650,8563,17542,32733
20380,8328,37973,53923,44123,75380,44270,6859,13867,3864,17250,88773,55,56128,50463,23174,79324,11654,31740,81923,40291,91765,97307,29829,41739,58240,91911,34361,47053,79171
28222,6413,4588,11774,66398,99864,12432,86673,26355,57431,18650,72488,30052,25571,16473,77264,95144,87428,71680,23421,38072,27010,17995,52169,79159,96235,88843,94779,70300,19361
44119,75926,45161,2784,58191,25688,31272,54114,58028,22018,52037,54080,95415,29707,87913,56446,31843,75816,35974,93441,79624,13826,72048,58941,63304,30540,73343,79586,30007,20445
13397,8024,50578,98459,93894,31277,35641,90165,35532,61620,68216,50738,2697,26904,8306,47849,99777,97166,8648,80606,55935,4199,55953,62397,40156,85297,3263,48770,78585,32321
