method,distribution,n,m,load_factor,num_hash_functions,trial,insert_time_total,insert_time_per_op,search_time_total,search_time_per_op,search_comparisons_total,search_comparisons_avg,max_chain_length,average_chain_length,non_empty_buckets,empty_buckets,chain_length_stdev,collision_count,unique_keys,p,coefficients
fixed,uniform,1000,2000,0.5,1,0,0.0012508330000855494,1.2508330000855495e-06,0.00033729099959600717,6.745819991920143e-07,587,1.174,4,0.4805,788,1212,0.6622837382874504,173,961,,
universal,uniform,1000,2000,0.5,3,0,0.002392874997894978,2.3928749978949782e-06,0.0009007919979922008,1.8015839959844015e-06,841,1.682,5,0.4805,747,1253,0.7096617151854818,214,961,2.305843009213694e+18,"[[256711980439665054, 1709899044117486289], [564682175042572888, 321752549611034334], [236337776990707882, 1707863537360842093]]"
fixed,uniform,1000,2000,0.5,1,1,0.0013735000029555522,1.3735000029555521e-06,0.0003644159987743478,7.288319975486957e-07,596,1.192,4,0.4735,771,1229,0.6665566367533969,176,947,,
universal,uniform,1000,2000,0.5,3,1,0.0025787499980651774,2.5787499980651774e-06,0.0009037079980771523,1.8074159961543047e-06,810,1.62,4,0.4735,751,1249,0.6937562612330068,196,947,2.305843009213694e+18,"[[659665203979258006, 1758630025113616856], [2212240429613108902, 852878681887507335], [1610489816920689347, 222016741360720591]]"
fixed,uniform,1000,2000,0.5,1,2,0.0012390829979267437,1.2390829979267438e-06,0.0003395830026420299,6.791660052840598e-07,601,1.202,4,0.477,785,1215,0.6583851456404526,169,954,,
universal,uniform,1000,2000,0.5,3,2,0.002539334000175586,2.5393340001755858e-06,0.0009250000002793968,1.8500000005587936e-06,839,1.678,3,0.477,778,1222,0.6659361831286839,176,954,2.305843009213694e+18,"[[1199085610155232937, 1617812241682181496], [268989063807004320, 875226211544593835], [667698580330647039, 518091674429352682]]"
fixed,uniform,1000,2000,0.5,1,3,0.0012941660024807788,1.2941660024807788e-06,0.00042587500138324685,8.517500027664937e-07,608,1.216,4,0.471,768,1232,0.664950374088172,174,942,,
universal,uniform,1000,2000,0.5,3,3,0.0025427920008951332,2.5427920008951332e-06,0.0009393750005983748,1.8787500011967496e-06,910,1.82,5,0.471,725,1275,0.7246785494272616,217,942,2.305843009213694e+18,"[[963130306873368709, 594124941275654819], [699113413627218811, 49790444920847614], [1116618126344352917, 264798812748597129]]"
fixed,uniform,1000,2000,0.5,1,4,0.0012427500005287584,1.2427500005287583e-06,0.0003345000004628673,6.690000009257347e-07,572,1.144,3,0.476,783,1217,0.661380374671036,169,952,,
universal,uniform,1000,2000,0.5,3,4,0.0024843749997671694,2.4843749997671695e-06,0.0009272090028389357,1.8544180056778713e-06,810,1.62,3,0.476,753,1247,0.6873310701546963,199,952,2.305843009213694e+18,"[[176127807941085543, 92145436972157049], [1353304280071655414, 2046636642761636536], [1463118878522575776, 350413271360474182]]"
