dataset_name,hash_strategy,n,load_factor,m,iterations,insert_time_mean,insert_time_std,search_time_mean,search_time_std,max_chain_length_mean,max_chain_length_std,collision_count_mean,collision_count_std
uniform,fixed,1000,0.5,2000,10,866.07,0.0,845.76,0.0,4,0.0,173,0.0
uniform,universal,1000,0.5,2000,10,1218.07,0.0,1434.68,0.0,3,0.0,162,0.0
uniform,fixed,1000,0.5,2000,20,1135.8,0.0,1283.225,0.0,4,0.0,173,0.0
uniform,universal,1000,0.5,2000,20,1123.575,0.0,1240.04,0.0,3,0.0,162,0.0
uniform,fixed,1000,0.5,2000,30,789.3433333333334,0.0,861.47,0.0,4,0.0,173,0.0
uniform,universal,1000,0.5,2000,30,1035.5133333333333,0.0,1386.6566666666668,0.0,3,0.0,162,0.0
uniform,fixed,1000,0.5,2000,40,1240.6275,0.0,982.79,0.0,4,0.0,173,0.0
uniform,universal,1000,0.5,2000,40,971.4725,0.0,1389.0725,0.0,3,0.0,162,0.0
uniform,fixed,1000,0.5,2000,50,1032.998,0.0,946.706,0.0,4,0.0,173,0.0
uniform,universal,1000,0.5,2000,50,1013.596,0.0,980.084,0.0,3,0.0,162,0.0
sorted,fixed,1000,0.5,2000,10,1109.55,0.0,1053.52,0.0,1,0.0,0,0.0
sorted,universal,1000,0.5,2000,10,1494.97,0.0,1513.38,0.0,1,0.0,0,0.0
sorted,fixed,1000,0.5,2000,20,1250.875,0.0,981.605,0.0,1,0.0,0,0.0
sorted,universal,1000,0.5,2000,20,1385.705,0.0,1640.31,0.0,1,0.0,0,0.0
sorted,fixed,1000,0.5,2000,30,969.3033333333333,0.0,961.0766666666667,0.0,1,0.0,0,0.0
sorted,universal,1000,0.5,2000,30,1051.5433333333333,0.0,1147.32,0.0,1,0.0,0,0.0
sorted,fixed,1000,0.5,2000,40,1034.0975,0.0,1052.875,0.0,1,0.0,0,0.0
sorted,universal,1000,0.5,2000,40,1193.1375,0.0,1048.2575,0.0,1,0.0,0,0.0
sorted,fixed,1000,0.5,2000,50,1066.862,0.0,1048.5,0.0,1,0.0,0,0.0
sorted,universal,1000,0.5,2000,50,1278.726,0.0,1230.146,0.0,1,0.0,0,0.0
adversarial,fixed,1000,0.5,2000,10,8632.4,0.0,10436.5,0.0,1000,0.0,999,0.0
adversarial,universal,1000,0.5,2000,10,1116.13,0.0,1577.89,0.0,2,0.0,34,0.0
adversarial,fixed,1000,0.5,2000,20,8879.855,0.0,8476.695,0.0,1000,0.0,999,0.0
adversarial,universal,1000,0.5,2000,20,780.155,0.0,866.08,0.0,2,0.0,34,0.0
adversarial,fixed,1000,0.5,2000,30,7865.54,0.0,8999.89,0.0,1000,0.0,999,0.0
