method,distribution,n,m,load_factor,num_hash_functions,insert_time_total_mean,insert_time_total_median,insert_time_total_std,insert_time_per_op_mean,insert_time_per_op_median,insert_time_per_op_std,search_time_total_mean,search_time_total_median,search_time_total_std,search_time_per_op_mean,search_time_per_op_median,search_time_per_op_std,search_comparisons_total_mean,search_comparisons_total_median,search_comparisons_total_std,search_comparisons_avg_mean,search_comparisons_avg_median,search_comparisons_avg_std,max_chain_length_mean,max_chain_length_median,max_chain_length_std,average_chain_length_mean,average_chain_length_median,average_chain_length_std,non_empty_buckets_mean,non_empty_buckets_median,non_empty_buckets_std,empty_buckets_mean,empty_buckets_median,empty_buckets_std,chain_length_stdev_mean,chain_length_stdev_median,chain_length_stdev_std,collision_count_mean,collision_count_median,collision_count_std,unique_keys_mean,unique_keys_median,unique_keys_std
fixed,adversarial,1000,500,2.0,1,0.004368568033654204,0.004367291499875137,1.3512811008700806e-05,4.368568033654205e-06,4.367291499875137e-06,1.3512811008700626e-08,0.014715155599939559,0.014703770999403787,0.0004725836457412894,2.943031119987912e-05,2.9407541998807575e-05,9.451672914825787e-07,253244.53333333333,253779.0,5472.783977498821,506.4890666666667,507.558,10.945567954997644,1000.0,1000.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,499.0,499.0,0.0,44.67661580737735,44.67661580737735,0.0,999.0,999.0,0.0,1000.0,1000.0,0.0
fixed,adversarial,1000,1000,1.0,1,0.004354859700227583,0.0043527710004127584,1.2543454130269837e-05,4.354859700227584e-06,4.352771000412758e-06,1.2543454130270039e-08,0.014486931900440444,0.014461437000136357,0.00040386418643107694,2.8973863800880886e-05,2.8922874000272713e-05,8.077283728621543e-07,253244.53333333333,253779.0,5472.783977498821,506.4890666666667,507.558,10.945567954997644,1000.0,1000.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,999.0,999.0,0.0,31.606961258558215,31.606961258558215,0.0,999.0,999.0,0.0,1000.0,1000.0,0.0
fixed,adversarial,1000,1334,0.75,1,0.004871211067681239,0.004383708501336514,0.0020815358255831147,4.8712110676812394e-06,4.383708501336515e-06,2.0815358255831146e-06,0.014940788866685277,0.014722791500389576,0.0006135552659492035,2.9881577733370554e-05,2.944558300077915e-05,1.2271105318984068e-06,253244.53333333333,253779.0,5472.783977498821,506.4890666666667,507.558,10.945567954997644,1000.0,1000.0,0.0,0.7496251874062968,0.7496251874062968,0.0,1.0,1.0,0.0,1333.0,1333.0,0.0,27.36901988535035,27.36901988535035,0.0,999.0,999.0,0.0,1000.0,1000.0,0.0
fixed,adversarial,1000,2000,0.5,1,0.004375140166545558,0.004368167001302936,4.40549512606076e-05,4.375140166545559e-06,4.368167001302936e-06,4.405495126060794e-08,0.014926001466301386,0.014868916499835905,0.0005185322476519136,2.985200293260277e-05,2.9737832999671807e-05,1.0370644953038276e-06,253244.53333333333,253779.0,5472.783977498821,506.4890666666667,507.558,10.945567954997644,1000.0,1000.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,1999.0,1999.0,0.0,22.355088906108158,22.355088906108158,0.0,999.0,999.0,0.0,1000.0,1000.0,0.0
fixed,adversarial,5000,2500,2.0,1,0.09197236533364048,0.08954924999852665,0.009205922017002788,1.8394473066728094e-05,1.7909849999705327e-05,1.841184403400558e-06,0.3655285832997227,0.3661087079999561,0.013102031815699446,0.00014621143331988907,0.00014644348319998242,5.240812726279776e-06,6262753.966666667,6259168.5,56701.655144292716,2505.1015866666667,2503.6674000000003,22.680662057717115,5000.0,5000.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2499.0,2499.0,0.0,99.9799979995999,99.9799979995999,0.0,4999.0,4999.0,0.0,5000.0,5000.0,0.0
fixed,adversarial,5000,5000,1.0,1,0.09885186116662226,0.0882534169995779,0.039292634944467594,1.977037223332445e-05,1.7650683399915578e-05,7.858526988893518e-06,0.37097620560016364,0.35487312499935797,0.0432593611330116,0.00014839048224006546,0.00014194924999974318,1.730374445320464e-05,6262753.966666667,6259168.5,56701.655144292716,2505.1015866666667,2503.6674000000003,22.680662057717115,5000.0,5000.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4999.0,4999.0,0.0,70.70360669725413,70.70360669725413,0.0,4999.0,4999.0,0.0,5000.0,5000.0,0.0
fixed,adversarial,5000,6667,0.75,1,0.1013276249335225,0.08834675000071002,0.0445268295598951,2.02655249867045e-05,1.7669350000142004e-05,8.905365911979021e-06,0.4067226152663352,0.351946582997698,0.16261396880394438,0.00016268904610653408,0.0001407786331990792,6.504558752157776e-05,6262753.966666667,6259168.5,56701.655144292716,2505.1015866666667,2503.6674000000003,22.680662057717115,5000.0,5000.0,0.0,0.7499625018749062,0.7499625018749062,0.0,1.0,1.0,0.0,6666.0,6666.0,0.0,61.23112007484685,61.23112007484685,0.0,4999.0,4999.0,0.0,5000.0,5000.0,0.0
fixed,adversarial,5000,10000,0.5,1,0.09684374176661853,0.08759987499979616,0.023175330433920012,1.9368748353323708e-05,1.7519974999959234e-05,4.635066086784004e-06,0.36414294169965916,0.35502631249983096,0.035094535688864455,0.00014565717667986368,0.0001420105249999324,1.4037814275545787e-05,6262753.966666667,6259168.5,56701.655144292716,2505.1015866666667,2503.6674000000003,22.680662057717115,5000.0,5000.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,9999.0,9999.0,0.0,49.997499937496876,49.997499937496876,0.0,4999.0,4999.0,0.0,5000.0,5000.0,0.0
fixed,adversarial,10000,5000,2.0,1,0.3457435235668527,0.34389700000065204,0.009428656837229777,3.457435235668527e-05,3.438970000006521e-05,9.428656837229791e-07,1.4598571571332286,1.4563662295004178,0.05341573008805991,0.0002919714314266457,0.0002912732459000836,1.0683146017611992e-05,25015635.766666666,25062938.5,189884.70701939173,5003.127153333334,5012.5877,37.97694140387832,10000.0,10000.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,4999.0,4999.0,0.0,141.40721339450826,141.40721339450826,0.0,9999.0,9999.0,0.0,10000.0,10000.0,0.0
fixed,adversarial,10000,10000,1.0,1,0.34785840130013335,0.3426805204999255,0.025498016304695528,3.478584013001334e-05,3.426805204999255e-05,2.549801630469554e-06,1.431522954133834,1.40461120800137,0.06811545631395742,0.0002863045908267668,0.00028092224160027404,1.3623091262791478e-05,25015635.766666666,25062938.5,189884.70701939173,5003.127153333334,5012.5877,37.97694140387832,10000.0,10000.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,9999.0,9999.0,0.0,99.99499987499375,99.99499987499375,0.0,9999.0,9999.0,0.0,10000.0,10000.0,0.0
